http://dbpedia.org/ontology/Lighthouse,http://dbpedia.org/ontology/height
Kõpu (latarnia morska),36.0
Маяк Кыпу,36.0
Manora (Pakistán),38.0
Manora (Paquistão),38.0
Манора (Карачи),38.0
"Manora, Karachi",38.0
Faro di Punta Carena,28.0
彭塔卡雷尼亚灯塔,28.0
Punta Carena Lighthouse,28.0
Roca Tuskar,34.0
"Tuskar Rock, Ireland",34.0
Tuskar Rock,34.0
Akraberg,14.0
Akraberg,14.0
Akraberg,14.0
Akraberg,14.0
Phare de Goulphar,52.25
Phare de Goulphar,52.25
Goulphar lighthouse,52.25
Gros Cap Reefs Light,18.0
石廊埼灯台,11.38
Irōzaki Lighthouse,11.38
Phare de Mikomotoshima,23.3
神子元島灯台,23.3
Mikomotoshima Lighthouse,23.3
Torre Canne,32.0
Torre Canne,32.0
Torre Canne,32.0
Torre Canne,32.0
Faro Baishamen,71.9328
Phare de Baishamen,71.9328
Baishamen Lighthouse,71.9328
Faro di Capo Circeo,18.0
Capo Circeo Lighthouse,18.0
Cabo de Otranto,32.0
Capo d'Otranto,32.0
Cap d'Otrante,32.0
Cabo de Otranto,32.0
Capo d'Otranto,32.0
Capul Island Lighthouse,12.0
Isla Faror,17.0
Faror island,17.0
Phare de la Vieille,27.0
Faro de la Vieille,27.0
Phare de la Vieille,27.0
La Vieille,27.0
Maniguin Island Lighthouse,30.0
Faro Mulantou,72.2376
Phare de Mulantou,72.2376
Mulantou Lighthouse,72.2376
Phare de l’Île Vierge,31.0
Faro de Isla Virgen,31.0
Phare de l'Île Vierge,31.0
Île Vierge,31.0
Bastøy Lighthouse,14.0
Faro de Bengtskär,46.0
Bengtskär lighthouse,46.0
كايو فراغوسو,18.0
Cayo Fragoso,18.0
弗拉戈索島,18.0
Cayo Fragoso,18.0
Fulehuk Lighthouse,17.0
Gullholmen Lighthouse,7.0
Heggholmen Lighthouse,15.0
Cap Linné,15.0
Kapp Linné,15.0
Kapp Linné,15.0
Faro de la Coubre,64.0
Phare de la Coubre,64.0
Lighthouse of La Coubre,64.0
Oksøy fyr,36.0
Oksøy Lighthouse,36.0
Peche Island Rear Range Light,20.1168
Stavernsodden Lighthouse,7.0
Struten Lighthouse,12.5
Svenner Lighthouse,18.7
Tvistein Lighthouse,12.0
Two Rivers Light,10.9728
Vuurtoren J.C.J. van Speijk,28.0
J.C.J. van Speijk Lighthouse,28.0
Avery Rock,10.3632
Avery Rock Light,10.3632
Barns Ness Lighthouse,37.0
Faro de Bedok,75.8952
Bedok Lighthouse,75.8952
Buffalo Main Light,18.288
Cape Blanco Lighthouse,17.9832
Cape Blanco Light,17.9832
Coxsackie Light,9.7536
Fort Niagara Light,18.5928
Fort Tompkins Light,12.192
Happisburgh Lighthouse,26.0
Huntington Harbor Light,12.8016
Little Gull Island Light,24.6888
Newport News Middle Ground Light,21.336
North Dumpling Light,9.4488
Oswego Harbor West Pierhead Light,17.3736
Sharps Island Light,10.668
Phare de Sharps Island,10.668
Sultan Shoal Lighthouse,18.0
Baring Head Lighthouse,12.2
Baring Head Lighthouse,12.2
Faro di Belle Tout,14.0
Belle Tout lighthouse,14.0
Boat Bluff lighthouse,7.0
Leuchtturm Campen,64.9224
Phare de Campen,64.9224
Campen Lighthouse,64.9224
Vuurtoren van Campen,64.9224
Katiki Point Lighthouse,8.0
Katiki Point Lighthouse,8.0
Little Ross,22.0
Marjaniemi Lighthouse,25.0
Peerie Bard,6.0
Pencarrow Head Lighthouse,11.5
Pencarrow Head Lighthouse,11.5
Pencarrow Head Lighthouse,17.0
Pencarrow Head Lighthouse,17.0
Sambro Island Lighthouse,25.0
Sambro Island Light,25.0
Start Point Lighthouse,28.0
Latarnia morska Start Point,28.0
Маяк Старт-Пойнт,28.0
Staten Island Light,27.432
Staten Island Light,27.432
Tangier Sound Light,13.716
Ve Skerries,14.6
Leuchtturm Świnoujście,64.6176
Phare de Świnoujście,64.6176
Świnoujście Lighthouse,64.6176
Latarnia morska Świnoujście,64.6176
Свиноуйсьценский маяк,64.6176
Phare des Triagoz,14.9352
Faro de Triagoz,14.9352
Phare des Triagoz,14.9352
Triagoz lighthouse,14.9352
Stavenes fyr,8.0
Stavnes Lighthouse,8.0
Cape Brett Lighthouse,15.0
Cape Brett Lighthouse,15.0
Diamond Shoal Light,36.576
Discovery Island Light,11.5
Phare de Louisbourg,16.8
Louisbourg Lighthouse,16.8
One Fathom Bank Lighthouse,27.0
Phare du Petit Minou,22.0
Phare du Petit Minou,22.0
Phare du Petit Minou,22.0
Phare du Portzic,35.0
Faro de Portzic,35.0
Phare du Portzic,35.0
Phare du Portzic,35.0
Price Creek Light,7.9248
Roanoke Marshes Light,11.2776
Sandhammarens fyr,29.5
Sandhammaren,29.5
Tasman Island Lighthouse,29.0
Tasman Island Lighthouse,29.0
Utklippan,30.0
Utklippan,30.0
Utklippan,30.0
Vuurtoren van Vinga,29.0
Vinga Lighthouse,29.0
Wade Point Light,11.8872
Waipapa Point Lighthouse,13.0
Waipapa Point Lighthouse,13.0
Sodus Outer Light,14.9352
Faro di Alderney,32.0
Phare de Mannez,32.0
Latarnia morska Alderney,32.0
Маяк Олдерни,32.0
Alderney Lighthouse,32.0
Faro de Arecibo,14.0208
Arecibo Light,14.0208
Phare du cap Kumukahi,38.1
Cape Kumukahi Light,38.1
Faro de Las Cabezas de San Juan,13.716
Cape San Juan Light,13.716
Cedar Island Light,9.144
Eatons Neck Light,22.2504
Elm Tree Beacon Light,17.9832
Faro de Fårö,30.0
Fårö Lighthouse,30.0
Hurst Point Lighthouse,26.0
Faro de Punta de Hurst,26.0
Faro di Hurst Point,26.0
Latarnia morska Hurst Point,26.0
Маяк Харст-Пойнт,26.0
Hurst Point Lighthouse,26.0
Huvudskär,16.0
Högbonden (phare),14.0
Högbonden,14.0
Makapuu Point Light,14.0208
Olcott Light,8.2296
御前埼灯台,22.47
御前埼燈塔,22.47
Omaezaki Lighthouse,22.47
Pelican Bay Light,10.668
Ship Island Light,9.144
Skagsudde,26.0
Smoky Cape Lighthouse,17.4
Svenska Högarna,18.0
Svenska Högarna,18.0
Ursholmen,13.0
Bornrif,55.3
Bornrif,55.3
Bornrif (vuurtoren),55.3
Bornrif,55.3
Leuchtturm Büsum,21.4
Büsum Lighthouse,21.4
Leuchtturm Dagebüll,15.2
Dagebüll lighthouse,15.2
Grand Island Harbor Rear Range Light,19.5072
Grand Island Harbor Rear Range Light,19.5072
Leuchtturm Olhörn,8.6
Olhörn lighthouse,8.6
Needles Lighthouse,31.0
Faro di Needles,31.0
Latarnia morska Needles,31.0
Нидлсский маяк,31.0
Needles Lighthouse,31.0
Point Amour Lighthouse,33.0
Phare de Point-Amour,33.0
Point Amour Lighthouse,33.0
Wadjemup Lighthouse,38.7
Wadjemup Lighthouse,38.7
Agdenes Lighthouse,17.8
Faro de Anorisaki,12.7
安乗埼灯台,12.7
Anorisaki Lighthouse,12.7
Asenvågøy Lighthouse,14.0
Børøyholmen Lighthouse,13.0
Cape Bowling Green Light,22.0
Cape Bowling Green Light,32.004
Cape Capricorn Light,7.0104
Cape Cleveland Light,10.9728
Cape Moreton Light,22.86
Cleveland Point Light,11.5824
Cleveland Point Light,11.8872
Creal Reef Light,34.5
Faro di Den Oever,16.0
Vuurtoren van Den Oever,16.0
Den Oever Lighthouse,16.0
Dent Island Light,10.0584
Double Island Point Light,11.8872
Eboshijima Lighthouse,16.0
江埼灯台,8.27
Esaki Lighthouse,8.27
Finnvær Lighthouse,10.2
Fitzroy Island Light,1.2192
Fitzroy Island Light,17.0688
Fuller Rock Light,4.2672
Goods Island Light,5.4864
部埼灯台,9.7
Hesaki Lighthouse,9.7
犬吠埼灯台,31.3
Inubōsaki Lighthouse,31.3
Iojimazaki Lighthouse,11.5
Phare Kannonzaki,5.7912
観音埼灯台,5.7912
Kannonzaki Lighthouse,5.7912
樫野埼灯台,14.6
Kashinozaki Lighthouse,14.6
金華山灯台,54.6
Kinkasan Lighthouse,54.6
Kya Lighthouse,22.5
Lady Elliot Island Light,18.0
Lady Elliot Island Light,32.004
Phare de Mutsure-jima,10.6
六連島灯台,10.6
Mutsurejima Lighthouse,10.6
New Caloundra Light,14.0208
野間埼灯台,20.0
Nomazaki Lighthouse,20.0
納沙布岬灯台,13.5
納沙布岬燈塔,13.5
Nosappumisaki Lighthouse,13.5
Old Caloundra Light,11.8872
Pine Islet Light,6.096
Pine Islet Light,10.668
Point Cartwright Light,32.004
Rua Reidh Lighthouse,25.0
佐多岬灯台,12.6
Satamisaki Lighthouse,12.6
Phare de Shinagawa,9.0
Shinagawa Lighthouse,9.0
潮岬灯台,22.51
Shionomisaki Lighthouse,22.51
白州灯台,16.7
Shirasu Lighthouse,16.7
Sletringen Lighthouse,46.0
菅島灯台,9.7
Sugashima Lighthouse,9.7
Sula Lighthouse,13.0
Terningen Lighthouse,12.0
友ヶ島灯台,12.2
Tomogashima Lighthouse,12.2
角島灯台,29.62
Tsunoshima Lighthouse,29.62
釣島灯台,10.3
Tsurushima Lighthouse,10.3
Vingleia Lighthouse,10.2
Weavers Point,20.0
Faro Yenikalsky,27.0
Еникальский маяк,27.0
Yeni Kale Lighthouse,27.0
Blå Jungfrun Östra lighthouse,9.5
Faro de la isla de Corregidor,18.288
Corregidor Island Lighthouse,18.288
Finnrevet,14.5
Flat Top Island Light,9.7536
Grundkallen,34.0
Low Isles Light,18.288
North Reef Light,24.384
Paard van Marken,15.5
Paard van Marken,15.5
Faro de Tarkhankut,33.0
Тарханкутский маяк,33.0
Tarkhankut Lighthouse,33.0
West Channel Pile Light,11.0
Wharton Reef Light,9.144
Faro de Tamara,25.0
Île Tamara lighthouse,25.0
East Pascagoula River Light,10.668
Farol da Ponta Preta,6.0
Farol da Ponta Preta,6.0
Farol da Ponta do Sinó,9.0
Farol da Ponta do Sinó,9.0
Horn Island Light,14.3256
Кольбодегрунд,27.0
Kalbådagrundin lighthouse,27.0
Lake Borgne Light,13.1064
Latarnia morska w Talacre,18.0
Point of Ayr Lighthouse,18.0
Stora Karlsö Lighthouse,18.0
Balache Point Lighthouse,6.0
Phare de Chicken Rock,44.0
Latarnia morska Chicken Rock,44.0
Chicken Rock Lighthouse,44.0
Kastri Lighthouse,13.0
Lighthouse of Cabo Carvoeiro,8.2296
Lighthouse of Cabo de São Vicente,86.0
Lighthouse of Chibata,23.0
Latarnia morska Maughold Head,23.0
Maughold Head Lighthouse,23.0
St. David's Lighthouse,22.0
St. Joseph North Pier Inner and Outer Lights,10.668
İnceburun Lighthouse,12.0
Minicoy Island Lighthouse,49.5
Latarnia morska Mohni,27.0
Mohni Lighthouse,27.0
Latarnia morska Naissaar,45.0
Naissaare Lighthouse,45.0
Latarnia morska New Brighton,28.5
New Brighton Lighthouse,28.5
Pakefield Lighthouse,9.0
Latarnia morska Pakri,52.0
Pakri Lighthouse,52.0
Faro di Palmaiola,14.0
Palmaiola Lighthouse,14.0
Point King Lighthouse,9.0
Port Adelaide Lighthouse,25.0
Puerto del Rosario Lighthouse,43.0
Latarnia morska Ristna,30.0
Ristna Lighthouse,30.0
Ruhnu Lighthouse,30.0
Shabla Lighthouse,36.0
Stawa Młyny,10.0
Stawa Młyny,10.0
Latarnia morska Sääretuka,15.0
Sääretüki Lighthouse,15.0
Phare de Sõrve,52.0
Vuurtoren van Sõrve,52.0
Latarnia morska Sõrve,52.0
Сырве (маяк),52.0
Sõrve Lighthouse,52.0
Latarnia morska Tahkuna,43.0
Tahkuna Lighthouse,43.0
Маяк Ульги,24.0
Ulgi Lighthouse,24.0
Уостадварский маяк,12.0
Uostadvaris Lighthouse,12.0
Latarnia morska Vaindloo,17.0
Vaindloo Lighthouse,17.0
Latarnia morska Vilsandi,37.0
Vilsandi Lighthouse,37.0
Latarnia morska Virtsu,18.0
Virtsu Lighthouse,18.0
Швянтойский маяк,39.0
Šventoji Lighthouse,39.0
Kiungani Rear Range Lighthouse,13.0
Makatumbe Front Range Lighthouse,15.0
Makatumbe Range Rear Lighthouse,29.0
Mangapwani Lighthouse,23.0
Marubi Palace Gardens Range Rear Lighthouse,13.0
Matumbi Lighthouse,31.0
Oyster Bay Range Front Lighthouse,9.0
Oyster Bay Rear Range Lighthouse,26.0
Pungume Lighthouse,22.0
Ras Kigomasha Lighthouse,27.0
Ras Makunduchi Lighthouse,27.0
Ras Nungwi Lighthouse,14.0
Tumbatu Island Lighthouse,23.0
